,DistTarget,Method,TDL
313,45,ECAVCDist,6.445667393
314,60,ECAVCDist,7.704105273
315,-60,ECAVCDist,-1.494474474
316,-45,ECAVCDist,-0.230737937
317,-30,ECAVCDist,1.0329986
318,-15,ECAVCDist,2.296735137
319,0,ECAVCDist,3.560471674
320,15,ECAVCDist,4.824208211
321,30,ECAVCDist,6.087944748
322,45,ECAVCDist,7.351681285
323,60,ECAVCDist,8.615417822
324,-60,DNNDist,-7.778976917
325,-45,DNNDist,-6.527694225
326,-30,DNNDist,-5.53252697
327,-15,DNNDist,-4.528889179
328,0,DNNDist,-3.195491552
329,15,DNNDist,-1.562444925
330,30,DNNDist,0.030899882
331,45,DNNDist,1.681651592
332,60,DNNDist,2.953528881
333,-60,DNNDist,-7.035089493
334,-45,DNNDist,-5.726410866
335,-30,DNNDist,-4.55459547
336,-15,DNNDist,-3.564103842
337,0,DNNDist,-2.194132328
338,15,DNNDist,-1.031905174
339,30,DNNDist,1.059465885
340,45,DNNDist,1.976335287
341,60,DNNDist,3.421122789
342,-60,DNNDist,-6.096113205
343,-45,DNNDist,-5.068604469
344,-30,DNNDist,-3.839273691
345,-15,DNNDist,-2.853235722
346,0,DNNDist,-1.510061264
347,15,DNNDist,-0.054386795
348,30,DNNDist,1.13857317
349,45,DNNDist,2.866209269
350,60,DNNDist,3.98562479
351,-60,DNNDist,-5.432870865
352,-45,DNNDist,-4.172025204
353,-30,DNNDist,-3.117357969
354,-15,DNNDist,-2.040072918
355,0,DNNDist,-0.929356456
356,15,DNNDist,0.8088395
357,30,DNNDist,1.882142425
358,45,DNNDist,3.257020473
359,60,DNNDist,4.750746727
360,-60,DNNDist,-4.918967247
361,-45,DNNDist,-3.188003302
362,-30,DNNDist,-2.102644444
363,-15,DNNDist,-1.128383636
364,0,DNNDist,-0.093430638
365,15,DNNDist,1.168502331
366,30,DNNDist,2.723051786
367,45,DNNDist,4.096005917
368,60,DNNDist,5.265860558
369,-60,DNNDist,-4.050355434
370,-45,DNNDist,-2.855629444
371,-30,DNNDist,-1.771384478
372,-15,DNNDist,-0.588245809
373,0,DNNDist,0.896273792
374,15,DNNDist,1.984530926
375,30,DNNDist,3.367728472
376,45,DNNDist,4.800578117
377,60,DNNDist,5.984876156
378,-60,DNNDist,-3.243204355
379,-45,DNNDist,-2.047384977
380,-30,DNNDist,-0.942973554
381,-15,DNNDist,0.122516274
382,0,DNNDist,1.787069559
383,15,DNNDist,3.00007534
384,30,DNNDist,4.326114655
385,45,DNNDist,5.715900421
386,60,DNNDist,6.845659256
387,-60,DNNDist,-2.839399815
388,-45,DNNDist,-1.776625633
389,-30,DNNDist,-0.598428071
390,-15,DNNDist,1.039920092
391,0,DNNDist,2.266777515
392,15,DNNDist,3.989051819
393,30,DNNDist,5.13064909
394,45,DNNDist,6.4114995
395,60,DNNDist,7.755186081
396,-60,DNNDist,-2.077738285
397,-45,DNNDist,-1.048734784
398,-30,DNNDist,-0.028019905
399,-15,DNNDist,1.839551926
400,0,DNNDist,3.114268303
401,15,DNNDist,4.76166153
402,30,DNNDist,5.887816906
403,45,DNNDist,7.205798149
404,60,DNNDist,8.811442375
405,-60,NewDist,-7.12094334813686
406,-45,NewDist,-6.23082542961976
407,-30,NewDist,-5.34070751110265
408,-15,NewDist,-4.45058959258554
409,0,NewDist,-3.56047167406843
410,15,NewDist,-2.67035375555132
411,30,NewDist,-1.78023583703422
412,45,NewDist,-0.890117918517108
413,60,NewDist,-4.44089209850063e-16
414,-60,NewDist,-6.23082542961976
415,-45,NewDist,-5.34070751110265
416,-30,NewDist,-4.45058959258554
417,-15,NewDist,-3.56047167406843
418,0,NewDist,-2.67035375555132
419,15,NewDist,-1.78023583703422
420,30,NewDist,-0.890117918517108
421,45,NewDist,-4.44089209850063e-16
422,60,NewDist,0.890117918517107
423,-60,NewDist,-5.34070751110265
424,-45,NewDist,-4.45058959258554
425,-30,NewDist,-3.56047167406843
426,-15,NewDist,-2.67035375555132
427,0,NewDist,-1.78023583703422
428,15,NewDist,-0.890117918517108
429,30,NewDist,-2.22044604925031e-16
430,45,NewDist,0.890117918517108
431,60,NewDist,1.78023583703422
432,-60,NewDist,-4.45058959258554
433,-45,NewDist,-3.56047167406843
434,-30,NewDist,-2.67035375555132
435,-15,NewDist,-1.78023583703422
436,0,NewDist,-0.890117918517108
437,15,NewDist,-1.11022302462516e-16
438,30,NewDist,0.890117918517108
439,45,NewDist,1.78023583703422
440,60,NewDist,2.67035375555132
441,-60,NewDist,-3.56047167406843
442,-45,NewDist,-2.67035375555132
443,-30,NewDist,-1.78023583703422
444,-15,NewDist,-0.890117918517108
445,0,NewDist,0
446,15,NewDist,0.890117918517108
447,30,NewDist,1.78023583703422
448,45,NewDist,2.67035375555132
449,60,NewDist,3.56047167406843
450,-60,NewDist,-2.67035375555132
451,-45,NewDist,-1.78023583703422
452,-30,NewDist,-0.890117918517108
453,-15,NewDist,1.11022302462516e-16
454,0,NewDist,0.890117918517108
455,15,NewDist,1.78023583703422
456,30,NewDist,2.67035375555132
457,45,NewDist,3.56047167406843
458,60,NewDist,4.45058959258554
459,-60,NewDist,-1.78023583703422
460,-45,NewDist,-0.890117918517108
461,-30,NewDist,2.22044604925031e-16
462,-15,NewDist,0.890117918517108
463,0,NewDist,1.78023583703422
464,15,NewDist,2.67035375555132
465,30,NewDist,3.56047167406843
466,45,NewDist,4.45058959258554
467,60,NewDist,5.34070751110265
468,-60,NewDist,-0.890117918517107
469,-45,NewDist,4.44089209850063e-16
470,-30,NewDist,0.890117918517108
471,-15,NewDist,1.78023583703422
472,0,NewDist,2.67035375555132
473,15,NewDist,3.56047167406843
474,30,NewDist,4.45058959258554
475,45,NewDist,5.34070751110265
476,60,NewDist,6.23082542961976
477,-60,NewDist,4.44089209850063e-16
478,-45,NewDist,0.890117918517108
479,-30,NewDist,1.78023583703422
480,-15,NewDist,2.67035375555132
481,0,NewDist,3.56047167406843
482,15,NewDist,4.45058959258554
483,30,NewDist,5.34070751110265
484,45,NewDist,6.23082542961976
485,60,NewDist,7.12094334813686
